"","AAPL","MSFT","YHOO"
"806",32.06,29.37,16.36
"807",32.02,29.63,16.5
"808",32.09,29.61,16.56
"809",31.75,29.59,16.44
"810",32.11,29.6,16.34
"811",32.62,29.88,16.03
"812",32.77,29.65,16.09
"813",32.38,30.01,16.32
"814",32.99,29.66,16.54
"815",33.2,29.59,16.56
"816",33.69,29.77,16.61
"817",33.57,29.29,16.53
"818",34.07,29.27,16.51
"819",34.22,29.32,16.92
"820",34.37,29.35,16.87
"821",34.28,29.92,17.35
"822",34.54,30.34,17.52
"823",34.61,30.32,17.64
"824",34.63,30.45,18.18
"825",35.1,30.82,18.38
"826",35.56,30.87,18.97
"827",35.34,30.67,18.17
"828",35.3,31.04,18.39
"829",34.94,31.36,18.38
"830",37.03,31.33,17.45
"831",38.07,31.39,17.72
"832",38.69,30.96,17.64
"833",38.5,31.11,17.39
"834",37.43,30.84,16.92
"835",37.37,30.91,16.75
"836",38.38,31,16.97
"837",37.3,30.54,16.53
"838",38.05,30.86,16.95
"839",36.95,30.13,16.32
"840",36.57,29.85,16.49
"841",35.18,28.98,15.92
"842",33.69,28.21,15.29
"843",36.28,28.94,16.33
"844",36.65,28.88,16.41
"845",37.44,29.44,16.47
"846",36.91,29.24,16.14
"847",36.26,28.93,16.39
"848",36.32,28.94,16.27
"849",36.05,28.6,16.03
"850",35.48,28.24,15.79
"851",33.97,27.11,15.1
"852",34.62,26.84,15.48
"853",35.25,26.27,15.54
"854",35.03,26.07,15.31
"855",34.87,25.01,15.45
"856",36.19,26,15.69
"857",36.7,25.8,15.34
"858",37.26,25.89,15.02
"859",37.71,26.46,15.18
"860",37.59,26.86,15.43
"861",36.57,25.79,15
"862",35.85,25.29,14.94
"863",35.62,25.11,14.79
"864",34.74,24.79,14.69
"865",35.79,25,15.1
"866",36.22,25.66,15.29
"867",36.33,25.5,15.17
"868",37.1,26.58,15.65
"869",38.18,26.32,15.49
"870",38.84,26.37,15.6
"871",39.15,26.44,15.54
"872",38.6,25.95,15.21
"873",39.12,25.77,15.09
"874",38.71,25.31,15.23
"875",38.43,25,14.83
"876",38.1,24.53,14.81
"877",38.33,24.31,14.73
"878",36.6,23.31,14.04
"879",35.93,23.01,13.84
"880",35.5,23.16,14.09
"881",35.28,23.27,14.07
"882",35.52,23.82,14.13
"883",36.95,24.3,14.4
"884",36.87,24.41,14.6
"885",37.09,24.27,14.89
"886",36.76,24.83,14.94
"887",35.97,25.13,15.52
"888",36.1,25.44,15.37
"889",35.92,25.51,15.37
"890",35.7,24.89,14.9
"891",35.08,25.23,15.1
"892",35.98,25.48,15.2
"893",36.32,25.12,13.91
"894",37,25.84,13.88
"895",37.13,25.81,13.99
"896",37.04,26.1,14.15
"897",37.73,26.16,13.95
"898",37.28,25.95,13.87
"899",36.87,26.03,13.76
"900",36.75,25.81,13.88
"901",37.41,26.33,14
"902",37.42,26.16,13.94
"903",37.57,25.73,14.18
"904",37.39,25.37,14.16
"905",37.16,25.55,14.34
"906",37.39,25.61,14.4
"907",37.06,25.07,14.35
"908",35.74,24.86,13.87
"909",35.97,24.49,13.85
"910",35.59,24.4,13.83
"911",35.38,24.5,13.79
"912",36,24.71,13.94
"913",36.15,24.82,13.99
"914",35.7,24.44,13.85
"915",35.66,24.23,13.79
"916",35.11,24.28,13.65
"917",34.28,24.04,13.4
"918",34.7,24.1,13.26
"919",34.33,23.82,13.21
"920",34.52,23.93,13.43
"921",34.64,23.64,13.18
"922",34.73,23.46,13.11
"923",35.76,23.9,13.37
"924",36.02,23.94,13.51
"925",36.97,24.29,13.62
"926",36.83,23.96,13.53
"927",37.56,23.93,13.75
"928",37.58,24.01,13.65
"929",37.63,23.85,13.68
"930",38.15,25.11,13.73
"931",38.29,25.03,13.63
"932",38.6,25.12,14.27
